"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 14:12:14 GMT 2022","Thu Jun 23 14:12:26 GMT 2022","12054","","vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Mon Jun 27 17:03:55 GMT 2022","Mon Jun 27 17:04:07 GMT 2022","12254","test_conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:13:19 GMT 2022","Thu Jun 23 14:13:26 GMT 2022","6563","","vizsgaremek","TestConduit","","","test_save_data",""
"broken","Mon Jun 27 17:04:51 GMT 2022","Mon Jun 27 17:05:03 GMT 2022","12279","test_conduit","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Mon Jun 27 17:03:40 GMT 2022","Mon Jun 27 17:03:52 GMT 2022","12247","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Jun 23 14:12:49 GMT 2022","Thu Jun 23 14:12:52 GMT 2022","2616","","vizsgaremek","TestConduit","","","test_pagination",""
"passed","Thu Jun 23 14:13:29 GMT 2022","Thu Jun 23 14:13:48 GMT 2022","18609","","vizsgaremek","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:13:04 GMT 2022","Thu Jun 23 14:13:15 GMT 2022","10723","","vizsgaremek","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:12:56 GMT 2022","Thu Jun 23 14:13:01 GMT 2022","4987","","vizsgaremek","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:12:43 GMT 2022","Thu Jun 23 14:12:46 GMT 2022","2527","","vizsgaremek","TestConduit","","","test_find_ipsum_tag",""
"broken","Mon Jun 27 17:04:37 GMT 2022","Mon Jun 27 17:04:49 GMT 2022","12269","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:14:12 GMT 2022","Thu Jun 23 14:14:17 GMT 2022","4198","","vizsgaremek","TestConduit","","","test_logout",""
"broken","Mon Jun 27 17:02:51 GMT 2022","Mon Jun 27 17:03:01 GMT 2022","10027","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Mon Jun 27 17:05:05 GMT 2022","Mon Jun 27 17:05:19 GMT 2022","14272","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Mon Jun 27 17:03:26 GMT 2022","Mon Jun 27 17:03:38 GMT 2022","12328","test_conduit","test_conduit","TestConduit","","","test_find_ipsum_tag",""
"passed","Thu Jun 23 14:12:30 GMT 2022","Thu Jun 23 14:12:33 GMT 2022","2780","","vizsgaremek","TestConduit","","","test_invalid_registration",""
"broken","Mon Jun 27 17:04:09 GMT 2022","Mon Jun 27 17:04:21 GMT 2022","12269","test_conduit","test_conduit","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:12:37 GMT 2022","Thu Jun 23 14:12:39 GMT 2022","2475","","vizsgaremek","TestConduit","","","test_login",""
"broken","Mon Jun 27 17:03:03 GMT 2022","Mon Jun 27 17:03:13 GMT 2022","10039","test_conduit","test_conduit","TestConduit","","","test_invalid_registration",""
"broken","Mon Jun 27 17:04:23 GMT 2022","Mon Jun 27 17:04:35 GMT 2022","12249","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Jun 23 14:13:52 GMT 2022","Thu Jun 23 14:14:08 GMT 2022","16806","","vizsgaremek","TestConduit","","","test_input_from_file",""
"broken","Mon Jun 27 17:03:14 GMT 2022","Mon Jun 27 17:03:24 GMT 2022","10046","test_conduit","test_conduit","TestConduit","","","test_login",""
