"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 20:21:48 GMT 2022","Mon Jun 27 20:21:51 GMT 2022","3128","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Jun 23 14:12:37 GMT 2022","Thu Jun 23 14:12:39 GMT 2022","2475","","vizsgaremek","TestConduit","","","test_login",""
"passed","Mon Jun 27 20:21:03 GMT 2022","Mon Jun 27 20:21:15 GMT 2022","12076","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 23 14:13:19 GMT 2022","Thu Jun 23 14:13:26 GMT 2022","6563","","vizsgaremek","TestConduit","","","test_save_data",""
"passed","Mon Jun 27 20:21:18 GMT 2022","Mon Jun 27 20:21:33 GMT 2022","15160","test_conduit","test_conduit","TestConduit","","","test_invalid_registration",""
"passed","Thu Jun 23 14:12:30 GMT 2022","Thu Jun 23 14:12:33 GMT 2022","2780","","vizsgaremek","TestConduit","","","test_invalid_registration",""
"passed","Mon Jun 27 20:21:53 GMT 2022","Mon Jun 27 20:21:59 GMT 2022","5673","test_conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Mon Jun 27 20:21:34 GMT 2022","Mon Jun 27 20:21:37 GMT 2022","2814","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 27 20:22:51 GMT 2022","Mon Jun 27 20:22:55 GMT 2022","4356","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 23 14:13:52 GMT 2022","Thu Jun 23 14:14:08 GMT 2022","16806","","vizsgaremek","TestConduit","","","test_input_from_file",""
"passed","Thu Jun 23 14:13:29 GMT 2022","Thu Jun 23 14:13:48 GMT 2022","18609","","vizsgaremek","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:12:14 GMT 2022","Thu Jun 23 14:12:26 GMT 2022","12054","","vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 23 14:12:49 GMT 2022","Thu Jun 23 14:12:52 GMT 2022","2616","","vizsgaremek","TestConduit","","","test_pagination",""
"passed","Thu Jun 23 14:13:04 GMT 2022","Thu Jun 23 14:13:15 GMT 2022","10723","","vizsgaremek","TestConduit","","","test_edit_article",""
"passed","Mon Jun 27 20:21:39 GMT 2022","Mon Jun 27 20:21:47 GMT 2022","7894","test_conduit","test_conduit","TestConduit","","","test_find_ipsum_tag",""
"passed","Mon Jun 27 20:22:13 GMT 2022","Mon Jun 27 20:22:20 GMT 2022","6986","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Mon Jun 27 20:22:00 GMT 2022","Mon Jun 27 20:22:12 GMT 2022","11242","test_conduit","test_conduit","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:12:56 GMT 2022","Thu Jun 23 14:13:01 GMT 2022","4987","","vizsgaremek","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:14:12 GMT 2022","Thu Jun 23 14:14:17 GMT 2022","4198","","vizsgaremek","TestConduit","","","test_logout",""
"broken","Mon Jun 27 20:22:22 GMT 2022","Mon Jun 27 20:22:28 GMT 2022","6389","test_conduit","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Mon Jun 27 20:22:30 GMT 2022","Mon Jun 27 20:22:49 GMT 2022","18998","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:12:43 GMT 2022","Thu Jun 23 14:12:46 GMT 2022","2527","","vizsgaremek","TestConduit","","","test_find_ipsum_tag",""
