"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 27 19:01:50 GMT 2022","Mon Jun 27 19:02:00 GMT 2022","10015","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Mon Jun 27 19:03:54 GMT 2022","Mon Jun 27 19:04:08 GMT 2022","14255","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 23 14:12:49 GMT 2022","Thu Jun 23 14:12:52 GMT 2022","2616","","vizsgaremek","TestConduit","","","test_pagination",""
"passed","Mon Jun 27 19:02:39 GMT 2022","Mon Jun 27 19:02:51 GMT 2022","12286","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Mon Jun 27 19:02:01 GMT 2022","Mon Jun 27 19:02:11 GMT 2022","10051","test_conduit","test_conduit","TestConduit","","","test_invalid_registration",""
"passed","Thu Jun 23 14:13:29 GMT 2022","Thu Jun 23 14:13:48 GMT 2022","18609","","vizsgaremek","TestConduit","","","test_delete_article",""
"broken","Mon Jun 27 19:02:25 GMT 2022","Mon Jun 27 19:02:37 GMT 2022","12345","test_conduit","test_conduit","TestConduit","","","test_find_ipsum_tag",""
"broken","Mon Jun 27 19:02:52 GMT 2022","Mon Jun 27 19:03:05 GMT 2022","12274","test_conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:12:30 GMT 2022","Thu Jun 23 14:12:33 GMT 2022","2780","","vizsgaremek","TestConduit","","","test_invalid_registration",""
"broken","Mon Jun 27 19:03:06 GMT 2022","Mon Jun 27 19:03:19 GMT 2022","12277","test_conduit","test_conduit","TestConduit","","","test_edit_article",""
"broken","Mon Jun 27 19:03:34 GMT 2022","Mon Jun 27 19:03:38 GMT 2022","4240","test_conduit","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Thu Jun 23 14:12:14 GMT 2022","Thu Jun 23 14:12:26 GMT 2022","12054","","vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 23 14:12:37 GMT 2022","Thu Jun 23 14:12:39 GMT 2022","2475","","vizsgaremek","TestConduit","","","test_login",""
"broken","Mon Jun 27 19:03:40 GMT 2022","Mon Jun 27 19:03:52 GMT 2022","12266","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:12:56 GMT 2022","Thu Jun 23 14:13:01 GMT 2022","4987","","vizsgaremek","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:13:19 GMT 2022","Thu Jun 23 14:13:26 GMT 2022","6563","","vizsgaremek","TestConduit","","","test_save_data",""
"passed","Thu Jun 23 14:13:04 GMT 2022","Thu Jun 23 14:13:15 GMT 2022","10723","","vizsgaremek","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:14:12 GMT 2022","Thu Jun 23 14:14:17 GMT 2022","4198","","vizsgaremek","TestConduit","","","test_logout",""
"passed","Thu Jun 23 14:13:52 GMT 2022","Thu Jun 23 14:14:08 GMT 2022","16806","","vizsgaremek","TestConduit","","","test_input_from_file",""
"passed","Thu Jun 23 14:12:43 GMT 2022","Thu Jun 23 14:12:46 GMT 2022","2527","","vizsgaremek","TestConduit","","","test_find_ipsum_tag",""
"broken","Mon Jun 27 19:02:13 GMT 2022","Mon Jun 27 19:02:23 GMT 2022","10027","test_conduit","test_conduit","TestConduit","","","test_login",""
"broken","Mon Jun 27 19:03:20 GMT 2022","Mon Jun 27 19:03:32 GMT 2022","12278","test_conduit","test_conduit","TestConduit","","","test_save_data",""
